0 [0.0000e+00, 0.0000e+00]
31200 [1.0057e-01, 9.9227e-02]
31300 [1.0058e-01, 9.9230e-02]
31400 [1.0058e-01, 9.9225e-02]
31500 [1.0058e-01, 9.9227e-02]
31600 [1.0058e-01, 9.9226e-02]
31700 [1.0058e-01, 9.9223e-02]
31800 [1.0058e-01, 9.9222e-02]
31900 [1.0058e-01, 9.9223e-02]
32000 [1.0058e-01, 9.9220e-02]
32100 [1.0058e-01, 9.9219e-02]
32200 [1.0058e-01, 9.9221e-02]
32300 [1.0057e-01, 9.9227e-02]
32400 [1.0058e-01, 9.9215e-02]
32500 [1.0058e-01, 9.9214e-02]
32600 [1.0058e-01, 9.9214e-02]
32700 [1.0059e-01, 9.9220e-02]
32800 [1.0058e-01, 9.9211e-02]
32900 [1.0058e-01, 9.9210e-02]
33000 [1.0058e-01, 9.9207e-02]
33100 [1.0058e-01, 9.9207e-02]
33200 [1.0058e-01, 9.9207e-02]
33300 [1.0058e-01, 9.9203e-02]
33400 [1.0058e-01, 9.9207e-02]
33500 [1.0058e-01, 9.9205e-02]
33600 [1.0058e-01, 9.9203e-02]
33700 [1.0058e-01, 9.9202e-02]
33800 [1.0059e-01, 9.9206e-02]
33900 [1.0058e-01, 9.9201e-02]
34000 [1.0056e-01, 9.9179e-02]
34100 [1.0057e-01, 9.9202e-02]
34200 [1.0058e-01, 9.9199e-02]
34300 [1.0055e-01, 9.9207e-02]
34400 [1.0058e-01, 9.9197e-02]
34500 [1.0058e-01, 9.9197e-02]
34600 [1.0058e-01, 9.9197e-02]
34700 [1.0057e-01, 9.9196e-02]
34800 [1.0056e-01, 9.9210e-02]
34900 [1.0057e-01, 9.9195e-02]
35000 [1.0057e-01, 9.9194e-02]
35100 [1.0059e-01, 9.9172e-02]
35200 [1.0057e-01, 9.9193e-02]
35300 [1.0057e-01, 9.9190e-02]
35400 [1.0057e-01, 9.9193e-02]
35500 [1.0057e-01, 9.9198e-02]
35600 [1.0057e-01, 9.9187e-02]
35700 [1.0057e-01, 9.9192e-02]
35800 [1.0058e-01, 9.9181e-02]
35900 [1.0057e-01, 9.9192e-02]
36000 [1.0057e-01, 9.9191e-02]
36100 [1.0057e-01, 9.9190e-02]
36200 [1.0057e-01, 9.9188e-02]
36300 [1.0057e-01, 9.9197e-02]
36400 [1.0057e-01, 9.9190e-02]
36500 [1.0057e-01, 9.9188e-02]
36600 [1.0057e-01, 9.9188e-02]
36700 [1.0057e-01, 9.9182e-02]
36800 [1.0057e-01, 9.9181e-02]
36900 [1.0057e-01, 9.9189e-02]
37000 [1.0056e-01, 9.9182e-02]
37100 [1.0057e-01, 9.9190e-02]
37200 [1.0057e-01, 9.9189e-02]
37300 [1.0058e-01, 9.9213e-02]
37400 [1.0057e-01, 9.9189e-02]
37500 [1.0057e-01, 9.9188e-02]
37600 [1.0058e-01, 9.9194e-02]
37700 [1.0057e-01, 9.9189e-02]
37800 [1.0056e-01, 9.9199e-02]
37900 [1.0057e-01, 9.9190e-02]
38000 [1.0057e-01, 9.9188e-02]
38100 [1.0057e-01, 9.9190e-02]
38200 [1.0057e-01, 9.9195e-02]
38300 [1.0057e-01, 9.9189e-02]
38400 [1.0059e-01, 9.9204e-02]
38500 [1.0057e-01, 9.9191e-02]
38600 [1.0057e-01, 9.9190e-02]
38700 [1.0056e-01, 9.9191e-02]
38800 [1.0055e-01, 9.9203e-02]
38900 [1.0056e-01, 9.9192e-02]
39000 [1.0056e-01, 9.9192e-02]
39100 [1.0056e-01, 9.9197e-02]
39200 [1.0056e-01, 9.9194e-02]
39300 [1.0058e-01, 9.9196e-02]
39400 [1.0056e-01, 9.9185e-02]
39500 [1.0056e-01, 9.9194e-02]
39600 [1.0055e-01, 9.9190e-02]
39700 [1.0056e-01, 9.9194e-02]
39800 [1.0056e-01, 9.9194e-02]
39900 [1.0055e-01, 9.9192e-02]
40000 [1.0056e-01, 9.9195e-02]
40100 [1.0056e-01, 9.9192e-02]
40200 [1.0056e-01, 9.9195e-02]
40300 [1.0056e-01, 9.9197e-02]
40400 [1.0055e-01, 9.9193e-02]
40500 [1.0056e-01, 9.9197e-02]
40600 [1.0056e-01, 9.9198e-02]
40700 [1.0055e-01, 9.9198e-02]
40800 [1.0055e-01, 9.9198e-02]
40900 [1.0054e-01, 9.9189e-02]
41000 [1.0055e-01, 9.9199e-02]
41100 [1.0055e-01, 9.9200e-02]
41200 [1.0054e-01, 9.9191e-02]
41300 [1.0055e-01, 9.9201e-02]
41400 [1.0054e-01, 9.9210e-02]
41500 [1.0055e-01, 9.9202e-02]
41600 [1.0055e-01, 9.9202e-02]
41700 [1.0055e-01, 9.9204e-02]
41800 [1.0055e-01, 9.9203e-02]
41900 [1.0055e-01, 9.9208e-02]
42000 [1.0055e-01, 9.9205e-02]
42100 [1.0053e-01, 9.9197e-02]
42200 [1.0055e-01, 9.9181e-02]
42300 [1.0055e-01, 9.9206e-02]
42400 [1.0054e-01, 9.9204e-02]
42500 [1.0054e-01, 9.9211e-02]
42600 [1.0054e-01, 9.9208e-02]
42700 [1.0054e-01, 9.9208e-02]
42800 [1.0054e-01, 9.9203e-02]
42900 [1.0054e-01, 9.9211e-02]
43000 [1.0054e-01, 9.9210e-02]
43100 [1.0054e-01, 9.9210e-02]
43200 [1.0054e-01, 9.9208e-02]
43300 [1.0055e-01, 9.9195e-02]
43400 [1.0054e-01, 9.9213e-02]
43500 [1.0054e-01, 9.9213e-02]
43600 [1.0053e-01, 9.9220e-02]
43700 [1.0054e-01, 9.9217e-02]
43800 [1.0054e-01, 9.9215e-02]
43900 [1.0053e-01, 9.9214e-02]
44000 [1.0053e-01, 9.9219e-02]
