37300 [4.9334e-02, 6.4716e+00]
37400 [4.9487e-02, 6.4612e+00]
37500 [4.9617e-02, 6.4508e+00]
37600 [4.9592e-02, 6.4404e+00]
37700 [4.9792e-02, 6.4300e+00]
37800 [4.9935e-02, 6.4197e+00]
37900 [4.9943e-02, 6.4093e+00]
38000 [4.9330e-02, 6.3989e+00]
38100 [5.0141e-02, 6.3886e+00]
38200 [5.0081e-02, 6.3783e+00]
38300 [4.9808e-02, 6.3679e+00]
38400 [5.0397e-02, 6.3576e+00]
38500 [5.0210e-02, 6.3473e+00]
38600 [4.9796e-02, 6.3370e+00]
38700 [5.0300e-02, 6.3267e+00]
38800 [5.0287e-02, 6.3164e+00]
38900 [5.0277e-02, 6.3062e+00]
39000 [5.0788e-02, 6.2959e+00]
39100 [5.0273e-02, 6.2856e+00]
39200 [5.0882e-02, 6.2754e+00]
39300 [5.0479e-02, 6.2652e+00]
39400 [5.0381e-02, 6.2549e+00]
39500 [5.0722e-02, 6.2447e+00]
39600 [5.1202e-02, 6.2345e+00]
39700 [5.0868e-02, 6.2243e+00]
39800 [5.0989e-02, 6.2141e+00]
39900 [5.1265e-02, 6.2039e+00]
40000 [5.1078e-02, 6.1937e+00]
