24400 [9.9646e-02, 1.0037e+00]
24500 [9.9658e-02, 1.0037e+00]
24600 [9.9660e-02, 1.0037e+00]
24700 [9.9656e-02, 1.0037e+00]
24800 [9.9667e-02, 1.0036e+00]
24900 [9.9669e-02, 1.0036e+00]
25000 [9.9669e-02, 1.0036e+00]
25100 [9.9674e-02, 1.0036e+00]
25200 [9.9678e-02, 1.0036e+00]
25300 [9.9674e-02, 1.0036e+00]
25400 [9.9686e-02, 1.0036e+00]
25500 [9.9681e-02, 1.0035e+00]
25600 [9.9687e-02, 1.0035e+00]
25700 [9.9691e-02, 1.0035e+00]
25800 [9.9694e-02, 1.0035e+00]
25900 [9.9697e-02, 1.0035e+00]
26000 [9.9696e-02, 1.0035e+00]
26100 [9.9714e-02, 1.0035e+00]
26200 [9.9703e-02, 1.0034e+00]
26300 [9.9700e-02, 1.0034e+00]
26400 [9.9711e-02, 1.0034e+00]
26500 [9.9711e-02, 1.0034e+00]
26600 [9.9712e-02, 1.0034e+00]
26700 [9.9714e-02, 1.0034e+00]
26800 [9.9716e-02, 1.0034e+00]
26900 [9.9717e-02, 1.0034e+00]
27000 [9.9714e-02, 1.0033e+00]
27100 [9.9719e-02, 1.0033e+00]
27200 [9.9736e-02, 1.0033e+00]
27300 [9.9727e-02, 1.0033e+00]
27400 [9.9728e-02, 1.0033e+00]
27500 [9.9723e-02, 1.0033e+00]
27600 [9.9726e-02, 1.0033e+00]
27700 [9.9734e-02, 1.0033e+00]
27800 [9.9736e-02, 1.0032e+00]
27900 [9.9737e-02, 1.0032e+00]
28000 [9.9739e-02, 1.0032e+00]
28100 [9.9743e-02, 1.0032e+00]
28200 [9.9756e-02, 1.0032e+00]
28300 [9.9746e-02, 1.0032e+00]
28400 [9.9748e-02, 1.0032e+00]
28500 [9.9749e-02, 1.0032e+00]
28600 [9.9750e-02, 1.0031e+00]
28700 [9.9746e-02, 1.0031e+00]
28800 [9.9756e-02, 1.0031e+00]
28900 [9.9756e-02, 1.0031e+00]
29000 [9.9761e-02, 1.0031e+00]
29100 [9.9762e-02, 1.0031e+00]
29200 [9.9761e-02, 1.0031e+00]
29300 [9.9763e-02, 1.0031e+00]
29400 [9.9754e-02, 1.0031e+00]
29500 [9.9767e-02, 1.0031e+00]
29600 [9.9770e-02, 1.0030e+00]
29700 [9.9765e-02, 1.0030e+00]
29800 [9.9772e-02, 1.0030e+00]
29900 [9.9772e-02, 1.0030e+00]
30000 [9.9775e-02, 1.0030e+00]
